Closing Price,Volume,Previous Day High,Previous Day Low,Next Day Opening Price
229.73,9963,239.44,215.29,224.78
257.91,3873,270.69,243.83,259.26
333.15,8707,347.06,318.33,335.88
306.11,6480,314.64,288.97,308.44
397.49,1716,404.9,392.3,394.21
386.87,5159,394.87,381.79,387.31
118.22,7429,120.56,98.78,118.73
153.56,7485,160.67,136.39,155.09
186.08,3556,190.88,173.83,189.39
339.07,2457,345.59,337.91,341.05
458.11,8605,472.68,440.87,454.52
229.96,7678,249.74,214.68,225.15
485.5,4601,504.05,466.33,481.86
169.14,4837,185.76,167.89,164.55
469.89,9272,484.9,468.35,469.26
420.4,3428,439.35,409.57,418.24
255.61,7837,270.9,238.35,250.69
182.52,9030,192.47,162.69,178.33
256.52,4995,268.94,249.44,255.49
185.5,3695,192.31,183.8,189.89
324.46,5511,325.52,319.75,329.41
329.93,8029,337.65,312.26,325.43
407.28,4879,415.97,397.41,410.58
311.15,4762,326.07,293.93,310.95
238.06,1222,255.38,228.62,239.27
464.64,7339,483.93,462.63,464.7
131.2,2014,138.88,118.47,135.44
423.51,2018,442.7,414.23,423.3
263.83,3296,280.02,253.49,260.51
172.44,9417,174.03,153.41,175.24
148.14,6773,160.45,138.46,148.28
188.31,5582,196.25,172.17,184.48
148.78,6269,150.43,146.66,148.4
283.57,4947,294.67,273.47,285.45
239.88,7353,251.99,227.73,237.83
242.64,5411,248.43,239.48,246.76
162.75,5495,181.61,156,166.25
363.9,6247,376.5,348.84,364.58
343.12,9069,347.46,338.62,338.66
492.91,1768,507.62,489.47,493.75
167.06,9215,177.54,160.37,166.21
433.61,3173,443.6,416.29,435.85
113.55,6290,130.4,98.05,111.22
129.33,4292,132.95,113.57,130.39
359.22,7111,369.55,352.09,359.77
262.59,8224,278.42,259.71,262.86
192.2,6780,205.75,190.59,188.36
101.1,3080,102.21,88.96,101
365.26,7043,381.22,350.91,365.76
276.34,6227,295.29,268.16,280.62
168.31,8139,182.7,157.27,167.92
488.89,3112,506.53,482.59,490.29
240.34,4147,248.19,232.41,241.03
221.22,7048,228.89,206.36,218.18
304.13,4947,311.22,289.48,300.97
210.88,6572,225.85,209.35,213.28
209.1,7051,228,190.16,209.34
486.51,5529,504.34,480.4,490.47
204.46,9817,208.31,186.21,208.54
342.19,8475,355.08,331.46,340.16
114.98,1404,134.9,104.49,110.99
161.74,6755,168.35,152.18,160.18
108.83,9334,121.89,90.31,104.5
313.79,4720,332.02,308.84,316.6
296.64,3806,314.73,284.02,293.1
232.37,1287,239.48,225.33,236.03
380.11,5167,382.9,361.72,379.27
350.32,2818,363.59,346.1,348.1
340.14,5649,359.13,326.29,340.15
234.5,6383,245.15,225.49,235.56
230.86,9970,240.55,217.3,232.87
449.38,2940,466.79,445.38,447.76
317.59,2067,326.65,309.11,322.42
208.89,1989,222.83,205.86,208.12
317.29,9480,325.67,297.88,320.63
206.71,8746,214.87,201.64,202.06
174.12,7143,178.69,154.25,176.9
212.87,4107,215.55,203.92,213.38
351.56,5633,369.38,349.2,352.95
306.34,8461,310.78,305,305.06
165.8,6219,167.98,153.42,166.25
463.17,2174,475.23,450.49,467.49
299.32,4537,310.69,288.35,298.18
417.49,8591,429.28,415.23,413.55
232.28,8780,242.17,224.98,234.48
483.02,2688,486.72,475.2,483.08
400.84,7552,402.23,386.45,400.09
281.8,1643,283.68,272.84,284.58
460.92,5346,479.84,449.03,461.54
386.99,6843,398.09,380.55,388.3
272.21,9044,280.81,257.42,276.47
489.66,5974,498.46,487.77,485.24
219.42,3619,232.81,199.64,217.04
202.63,1554,210.78,189.44,206.61
457.86,7069,474,454.03,460.79
382.95,2843,388.89,368.32,379.83
238.2,1532,246.18,222.26,234.9
192.72,8831,211.49,176.74,195.97
171.22,4492,177.16,165.07,171.74
225.4,1633,238.97,206.18,229
150.22,6803,158.14,148.88,154.39
158.14,4282,168.09,149.92,153.83
410.65,3180,412.51,407.67,415.35
125.5,1956,129.68,117.19,127.67
275.72,2323,278.65,273.63,279.06
262,9410,279.05,248.74,263.3
484.08,4056,503.35,481.89,482.13
286.22,5482,288.51,273.52,287.21
164.34,3718,166.8,158.89,164.5
135.36,4372,146.85,130.96,139.68
392.98,5209,403.55,385.38,393.53
159.09,4657,172.46,145.92,154.37
475.19,3870,490.19,463.21,477.05
323.69,9251,339.83,309.76,319.19
260.68,1926,264.51,242.22,265.12
373.73,4837,375.45,368.87,373.6
179.57,5850,197.47,170.72,184.25
252.9,7258,262.82,246.85,248.16
113.37,9486,132.82,101.22,113.69
451.07,1615,462.19,444.69,448.33
270.1,2583,280.79,258.5,271.51
403.53,4855,416.37,386.89,403.51
466.74,4507,470.97,455.27,467.4
361.12,6352,366.94,344.19,359.71
250.3,5349,268.51,237.68,245.81
347.81,6484,352.85,330.28,343.87
244.13,6507,249.56,225.45,247.72
326.93,9538,337.62,316.28,328.95
272.87,6256,286.05,256.84,275.56
159.95,4224,160.96,150.04,156.17
412.04,3105,421.72,397.64,407.53
298.57,1219,307.15,296.85,293.74
176.06,6137,193.5,156.69,176.28
456.73,2200,473.69,438.74,456.74
441.29,6675,459.5,423.32,437.39
323.53,6613,340.53,317.19,322
488.13,5581,504.07,481.75,488.43
470.87,6834,488.19,462.22,472.63
458.8,7053,463.12,441.08,461.9
153.32,1704,160.79,136,154.73
217.85,5944,231.84,211.35,213.15
264.08,5048,282.62,252.78,264.94
432.76,4561,446.43,422.74,428.64
448.49,7401,453.45,435.13,449.14
400.59,3929,419.54,395.53,399.35
288.96,3451,304.41,286.34,286.82
164.76,2247,179.37,163.24,164.58
114.08,1770,129.57,105.83,112.89
379.72,3595,393.24,360.74,383.02
497.66,5356,499.08,483.65,494.93
238.19,6890,244.01,222.96,234.56
327.49,4427,346.67,308.53,330.86
424.23,3373,430.72,415.21,421.67
174.59,9063,190.25,164.58,169.92
431.82,4374,440.89,423.99,430.69
350.14,1007,368.38,345.69,353.33
327.94,5709,339.54,312.38,327.26
404.91,7768,417.92,386.69,404.61
196.38,7351,201.93,179.92,191.85
345.91,9141,348.01,344.01,348.02
196.15,2068,211.53,189.47,194.59
171.81,9713,174.1,159.56,174.1
349.34,7485,364.06,342.13,348.45
207.71,6864,219.27,203.86,207.98
385.75,6598,402.33,374.52,386.65
305.79,6462,310.7,294.89,302.76
377.98,7312,389.27,363.49,375.92
456.65,3315,469.32,436.65,457.5
155.3,9940,157.71,141.98,158.53
126.7,9791,141.74,119.67,131.31
259.97,4800,268.36,240.8,260.21
386.68,4895,390.13,374.83,382.42
454.46,4425,462.81,441.19,459.02
113.92,7215,116.79,106.12,113.13
417.18,3680,435.06,407.6,413.21
130.17,8339,139.85,121.21,134.89
332.23,5322,335.85,313.44,330.04
237.64,5702,243.43,221.26,239.21
107.06,4248,121.83,104.34,103.5
138.84,9293,154.77,131.87,141.03
241.49,5038,243.28,239.43,246.25
481.5,1259,483.64,470.68,486.35
161.93,1276,180.36,155.62,158.19
208.79,5691,216.08,206.4,211.48
497.65,5560,502.33,481.99,499.3
292.25,8539,295.59,289.52,295.26
204.9,4326,214.94,198.74,203.23
346.38,3934,362.03,330.71,345.39
274.41,4358,285.31,263.69,272.83
443.32,8729,444.72,426.8,445.99
103.19,9545,113.39,94.32,106.28
498.71,3159,505.63,482.23,496.2
126.52,3763,140.5,115.3,127.25
314.85,4276,325.8,312.18,311.11
378.96,7209,398.3,369,374.09
319.93,1460,332.3,308.41,321.03
220.31,9737,233.33,207.68,223.71
442.17,6593,453.06,423.54,446.24
272.17,5805,279.08,267.68,273.37
220.28,5139,233.26,207.77,223.37
407.33,8840,414.66,392.05,406.38
158.34,2358,172.97,140.43,162.1
182,6467,187.5,171.02,184.75
201.11,4556,209.09,196.04,199.19
273.95,9148,286.04,257.42,274.92
108.13,9196,121.08,89.94,103.65
496.71,2210,510.41,493.69,493.18
340.06,7394,354.37,334.7,344.53
488.29,8543,495.34,470.73,483.39
422.98,5164,440.94,412.78,420.01
153.72,9183,155.29,149.51,150.11
183.63,6368,188.21,170.37,185.61
113.78,1231,116.11,104.07,109.84
433.52,4534,447.28,414.12,428.72
337.38,2646,343.58,332.15,341.69
186.03,1792,190.81,178.14,189.75
488.03,6255,498.17,483.88,486.62
394.7,3790,407.46,392.75,390.7
382.21,5862,394.97,376,383.99
206.8,7622,218.39,190.22,210.63
225.35,9278,245.2,219.27,230.1
367.19,3027,384.54,352.96,363.49
337.42,8680,342.96,326.43,338.42
358.91,3446,374.33,348.04,358.22
451.53,7889,463.35,435.68,448.1
164.16,6701,166.5,151.42,167.24
146.53,2423,148.48,142.5,149.36
325.85,7507,342.05,320.66,330.5
300.06,1080,311.42,288.73,295.92
261.15,9263,273,244.09,258.54
461.89,2080,469.27,457.99,465.16
323.35,3554,342.03,320.32,322.31
326.9,6548,341.45,316.07,326.66
246.57,1719,265.2,241.99,247.69
237.63,7764,240.51,217.74,236.71
495.04,4354,507.13,493.96,490.4
349.23,6579,362.34,339.7,350.27
430.05,1264,433.44,425.96,427.33
278.98,9460,286.56,265.04,283.67
176.74,1263,181.82,163.77,178.64
229.94,4697,249.64,213.6,233.34
238.45,7967,249.78,226.75,242.99
325.97,4802,332.95,321.37,321.6
161.85,5102,175.47,159.83,158.33
254.81,1398,268.34,240.09,257.89
140.23,9375,147.83,130.87,144.08
298.61,8251,318.5,293.39,293.66
478.97,7583,495.34,473.19,483.42
235.57,3852,244.18,231.74,235.12
119.88,4647,133.43,113.5,119.51
343.5,6709,358,327.46,347.29
353.89,3408,358.19,341.1,351.79
291.83,9302,309.51,272.07,292.66
258.74,6461,275.44,247.78,257.09
457.07,5403,472.42,446.16,453.2
475.37,5172,480.61,470.74,473.96
369.26,7889,372.85,357.12,365.99
300.49,1606,304.92,287.93,300.7
127.02,2349,129.79,122.09,127.32
220.42,8626,239.28,217.74,219.79
214.04,7358,231.22,206.03,210.77
123.3,9632,126.02,119.03,119.48
437.35,5883,451.23,426.78,433.39
446.82,9771,452.49,435.82,442.94
464.95,2323,466.28,452.39,462.9
396.72,2309,403.28,384.27,391.74
384.21,8576,393.57,370.38,379.83
291.13,3541,292.51,285.75,290.84
442.96,9717,450.11,428.07,439.79
304.05,3198,318.36,293.08,301.69
111.86,7835,117.2,102.55,110.39
333.96,8122,344.18,320.65,329.36
256.18,2201,274.05,245.66,253.38
308.52,2568,310.06,297.53,311.29
276.28,4027,292.21,274.84,274.69
298.72,1008,307.01,282.48,295.58
143.43,6470,154.71,134.37,140.41
105.81,7919,111.2,94.97,110.66
236.07,1202,248.07,227.67,232.56
201.82,4056,216.7,190.34,205.87
200.02,6575,204.85,198,195.83
474.84,4635,482.36,466.54,478.58
427.59,4531,439.37,413.89,427.66
105.35,8367,114.27,86.52,106.44
103.49,9141,110.06,86.35,100.95
410.76,8555,420.34,391.47,414.75
493.94,2614,500.47,478.1,494.82
286.08,1661,292.82,273.06,287.84
273.25,1093,285.85,264.21,273.82
210.33,8358,220.39,206.99,206.58
366.65,7619,380.52,360.89,370.02
288.66,2063,305.57,282.51,285.5
167.01,6571,185.92,157.88,164.93
292.55,6761,296.43,279.96,294.25
250.55,4044,263.45,237.79,246.48
455.92,6870,467.99,446.27,460.26
408.63,5370,426.11,402.42,404.88
380.5,8245,398.52,378.43,382.17
230.86,3172,246.31,211.08,232.22
155.85,9712,168.16,136.99,157.83
445.87,6408,450.66,441.4,445.21
237.1,6246,243.36,224.6,235.92
337.18,7359,349.64,330.57,341.96
336.33,2129,339.98,331.64,339.5
471.22,3772,475.72,457.22,471.08
168.69,4648,187.01,152.75,165.51
408.66,7200,427.83,399.93,412.56
285.04,7887,286.14,282.91,286.52
169.9,4351,187.29,161.27,166.26
434.26,1613,453.08,423.14,431.09
428.06,5267,439.04,410.08,428.46
116.07,8272,125.6,102.59,116.11
383.78,9197,402.23,369.28,382.87
161.41,5034,162.55,156.56,160.68
344.14,3968,361.11,329.46,340.87
357.52,9730,364.16,346.99,355.08
366.1,8697,379.28,349.51,366.02
148.04,3519,155.18,142.93,143.68
339.33,1555,350.26,328.54,337.85
139.95,5342,156.3,134.97,137.05
398.22,7916,402.67,391.79,394.97
125.5,9508,139.11,108.69,121.96
403.12,6370,421.19,389.06,399.53
453.4,9945,471.52,438.56,450
219.42,4717,237.4,217.11,218.16
411.32,6926,422.17,396.47,407.33
267.01,3287,282.59,256.67,270.98
419.09,5231,428.58,409.36,419.06
374.5,3274,384.24,365.66,374.55
215.66,9650,222.05,198.47,212.77
177.49,6715,183.91,173.12,181.17
465.9,4829,467.62,449.43,469.18
435.59,2109,446.69,416.95,430.93
363.96,3984,370.83,359.76,366.28
239.75,8627,244.31,219.76,236.59
304.18,5164,307.5,284.36,304.74
323.15,2385,330.74,310.34,326.85
134.43,6562,152.51,128.33,138.77
488.89,7294,499.71,479.73,485.74
136.73,6603,148.31,132.49,141.12
388.67,2733,390.71,385.39,384.37
297.12,2577,308,282.74,301.21
403.95,7740,417.64,391.93,406.67
204.37,9006,208.24,192.66,208.51
258.04,1740,277.73,252.34,256.71
310.2,3478,328.59,304.74,314.61
148.29,3963,168.16,128.49,151.48
440.73,4291,448.58,427.79,439.02
496.62,3249,513.24,480.05,495
267.04,4793,274.28,258.84,265.61
250.73,3460,265.96,233.7,251.61
337.63,5315,356.64,322.91,334.45
375.47,7955,379.41,367.82,374.8
447.43,8550,451.1,432.79,443.11
249.16,1616,252.14,230.57,247.74
405.93,2985,422.1,400.87,407.6
196.03,4349,209.7,184.63,196.93
372.18,3796,383.1,352.81,370.34
286.7,9906,302.4,270.09,284.27
364.67,9709,381.82,351.89,362.94
251.92,2981,270.96,249.6,247.62
217.74,7940,222.56,209.02,215.31
294.4,4114,303.79,281.03,296.48
458.04,9898,476.58,449.26,454.83
369.94,3295,379.71,350,366.32
344.66,6437,354.93,329.35,348.12
387.95,9972,406.85,383.39,385.31
391.64,6678,406.6,381.33,389.16
217.9,9462,229.39,209.6,217.53
193.1,4652,200.88,180.81,192.81
303.65,6925,322.04,294.17,300.51
159.13,6361,160.3,153.61,159.7
289.9,7237,297,275.13,291.85
377.22,7623,396.19,374.19,377.06
102.96,6523,113.43,91.85,106.92
144.46,3466,157.31,137.57,149.37
484.86,4207,495.98,465.5,485.15
471.18,3710,479.73,464.41,475.9
267.17,5954,280.81,259.69,268.63
336.01,2529,351.58,321.58,336.3
162.12,1179,170.04,158.68,165.82
232.4,3695,244.62,225.24,237.07
417.17,9802,419.75,402.95,422.16
442.39,5420,453.79,440.8,444.98
262.12,1960,277.32,255.21,261.97
224.42,8358,236.54,223.26,222.38
372.67,3775,390.36,368.82,373.25
387.16,2281,393.6,374.68,389.94
493.52,8888,503.87,483.85,488.79
378.93,2417,381.59,374.97,376.61
196.07,1740,210.37,193.58,194.61
123.99,7721,133.41,121.92,126.79
203.04,5555,214.12,200.42,204.18
190.66,4086,194.1,187.84,189.92
137.13,1470,157.08,134.49,141.33
277.76,8027,293.42,275.71,278.14
215.26,2189,223.87,201.01,217.49
470.04,6788,481.87,451.15,471.59
261.56,4575,274.32,244.3,265.15
450.65,2144,469.9,444.6,453.77
222.69,9874,238.29,217.81,227.58
432.6,6096,440.24,430.69,431.39
281.81,2509,301.38,277.84,278.45
112.94,4739,119.68,101.16,115.54
294.78,4933,306.74,274.82,298.53
190.71,6627,205.02,173.39,186.25
222.98,8367,229.13,212.19,221.31
373.74,9047,392.91,364.7,376.81
311.8,9274,316.91,307.99,313.64
455.44,4968,464.84,446.49,458
474.38,1875,478.8,462.08,474.81
376.38,9413,394.01,364.07,375.2
445.41,9184,450.62,433.82,448.53
178.03,2564,179.69,161.37,178.58
131.71,1647,133.45,121.02,131.86
233.19,2189,242.05,223.2,235.54
230.29,2794,241.22,223.48,227.2
366.04,6430,367.83,361.61,366.9
436.14,6115,438.91,435.12,434.19
218.75,3216,221.6,211.63,213.97
269.91,1154,283.61,256.88,272.4
141.98,2115,148.68,130.36,141.73
265.1,8358,276.79,254.02,269.13
185.76,7718,188.16,170.09,185.77
252.98,3824,270.93,247.56,248.08
206.54,6203,213.32,192.65,205.63
423.49,4548,439.28,410.96,420.2
101.63,7614,118.33,94.18,105.84
235.48,8888,255.25,230.33,234.94
487.69,2175,502.77,476,487.8
371.6,3082,381.01,352.64,370.25
408.87,5921,412.77,406.42,409.09
443.95,7858,445.86,424.84,439.78
244.74,4293,262.58,234.91,244.32
126.38,9891,135.86,111.89,128.01
264.28,8590,279.53,248.02,263
361.08,7547,371.51,357.2,360.01
248.32,6717,266.03,246.46,251.69
279.33,2623,294.57,275.88,279.69
430.2,5543,432.83,422.72,431.08
114.49,9845,129.79,95.32,112.46
233.89,5236,239.96,232.08,233.72
295.37,5352,311.05,276.89,290.9
219.67,3550,238.7,208.01,218.98
278.33,4674,297,275.39,281.36
260.71,2292,264.08,256.8,257.32
469.56,9071,471.6,455.47,472.21
297.25,2553,313.01,284.69,295.99
290.53,5769,305.02,286.35,285.8
201.8,9474,206.14,183.61,206.33
118.53,4729,132.54,115,115.34
219.79,5977,221.09,209.07,218.14
110.88,6823,123.88,99.85,110.69
430.71,1590,447.52,413.17,435.2
181.72,5922,194.91,180.29,182.53
464.48,4778,466.72,460.88,468.53
454.33,5373,474.16,450.09,454.98
365.88,6553,373.64,363.68,362.93
445.02,3454,453.25,432.02,445.66
451.17,1083,453.78,445.8,447.17
410.54,7579,414.71,398.58,406.71
